,mean,max,min,r,std,vol,fd
0,0.0,0.0,0.0,,0.0,0.0,0.0
1,2.3529103132804073e-05,2.3529103132804073e-05,2.3529103132804073e-05,2.3529103132804073e-05,0.0,0.0,0.0
2,1.202069440878443e-05,2.928330749481389e-05,-5.241918677245033e-06,5.122856847647879e-07,1.1508408724019642e-05,3.4525226172058925e-05,5.754204362009821e-06
3,8.264450209571405e-06,2.445572484182886e-05,-7.92682442268605e-06,7.519618111453555e-07,1.0794183088171636e-05,3.238254926451491e-05,7.434197270730426e-06
4,6.804389148462453e-06,2.133048753042698e-05,-7.721709233502071e-06,2.424205965135597e-06,9.68406558797635e-06,2.905219676392905e-05,7.996664350041907e-06
5,-2.3633277589164418e-06,2.8054254771695324e-05,-3.2780910289528205e-05,-3.903419538843202e-05,2.0278388353741175e-05,6.083516506122353e-05,1.045300915078176e-05
6,-3.895426408542919e-06,2.3814523981793033e-05,-3.160537679887887e-05,1.5868609884671687e-05,1.8473300260223966e-05,5.54199007806719e-05,1.4147669202826553e-05
7,-5.483175034251361e-06,2.2067457213245716e-05,-3.303380728174844e-05,-7.426457443777423e-06,1.8367088164998054e-05,5.510126449499416e-05,1.5519405091022238e-05
8,-1.295505860512856e-05,1.9477205571146877e-05,-4.5387322781404e-05,-3.6607456043240643e-05,2.162150945085029e-05,6.486452835255087e-05,1.7684870363557968e-05
9,4.1144678959160884e-05,0.00021760133085318393,-0.00013531197293486217,0.0002729228937865828,0.0001176377679293487,0.0003529133037880461,3.927561083183244e-05
10,7.826531903906986e-05,0.00025188881158001643,-9.535817350187673e-05,0.00014656900501111285,0.00011574899502729773,0.0003472469850818932,5.8369732166543746e-05
11,4.268935332148612e-05,0.0002696809071923636,-0.0001843022005493914,-0.00016201121870324702,0.000151327702580585,0.000453983107741755,8.494061263061595e-05
12,7.230277122996519e-06,0.0002733844652910651,-0.00025892391104507205,-0.00018472183843622542,0.00017743612544537907,0.0005323083763361372,0.00011675442008669216
13,1.4551768331644645e-05,0.0002788927997288569,-0.00024978926306556764,0.0,0.00017622735426480818,0.0005286820627944245,0.00014767558904948372
14,-3.7285520684987964e-05,0.00014653628843070384,-0.00022110732980067975,1.373644870341978e-05,0.00012254787274379453,0.0003676436182313836,0.0001486576100123729
15,-7.144506732787402e-05,5.516688527177583e-05,-0.00019805701992752387,-2.422872820331747e-05,8.440796839976657e-05,0.0002532239051992997,0.00014238940468686668
16,-3.483658664872023e-05,7.993498146451849e-05,-0.00014960815476195897,2.1031184692521912e-05,7.651437874215914e-05,0.00022954313622647744,0.0001274267399191815
17,1.965441605886203e-06,2.5195824286782932e-05,-2.1264941075010526e-05,-7.116971631932477e-07,1.5486921787264486e-05,4.646076536179346e-05,9.503689918755858e-05
18,-6.168036852465975e-06,2.857341349614537e-05,-4.0909487201077324e-05,-4.066739229176089e-05,2.316096689907423e-05,6.94829006972227e-05,6.442362171441178e-05
19,-2.3794986716572052e-05,2.5444260491224615e-05,-7.303423392436872e-05,-7.43983006171106e-05,3.2826164805197776e-05,9.847849441559333e-05,4.647928012669243e-05
20,-3.280716826675223e-05,2.3522828349979066e-05,-8.913716488348353e-05,-6.928963595421834e-05,3.7553331077820864e-05,0.0001126599932334626,3.7108352662303295e-05
