,mean,max,min,r,std,vol,fd
0,0.0,0.0,0.0,,0.0,0.0,0.0
1,5.541509545384599e-05,5.541509545384599e-05,5.541509545384599e-05,5.541509545384599e-05,0.0,0.0,0.0
2,0.00011945346243431343,0.0002155110129050146,2.3395911963612254e-05,0.00018349182941478087,6.403836698046744e-05,0.00019211510094140234,3.201918349023372e-05
3,2.921662183040573e-07,0.0002649593798843443,-0.00026437504744773624,-0.00023803042621371468,0.0001764448091106935,0.0005293344273320805,8.016105869705365e-05
4,6.259555206328967e-07,0.00022983612664218876,-0.00022858421560092298,1.6273234276194151e-06,0.00015280678074770391,0.00045842034224311174,9.832248920971622e-05
5,-1.422103348696269e-05,0.00019557348450572297,-0.00022401555147964834,-7.360898951734505e-05,0.00013986301199512378,0.0004195890359853713,0.00010663059376679773
6,4.291383030283946e-05,0.0003450680989484543,-0.0002592404383427754,0.0003410894144028567,0.0002014361790970766,0.0006043085372912298,0.00014691782958621306
7,4.635575714624587e-05,0.0003522661854641369,-0.0002595546711716452,0.00020070146363181297,0.0002039402855452607,0.0006118208566357821,0.00017489821329917172
8,0.00010866876373642276,0.0003295376744866963,-0.00011220014701385076,7.353460673716981e-05,0.00014724594050018235,0.00044173782150054705,0.0001690584395770695
9,0.00013820497595268917,0.00034413547900830955,-6.772552710293121e-05,0.00014930838450895152,0.00013728700203708026,0.00041186100611124076,0.00016595448383494477
10,0.00011948577953826926,0.0003712862748150535,-0.000132314715738515,-0.00016720497158944465,0.0001678669968511895,0.0005036009905535685,0.0001715552808061579
11,2.388793085026566e-05,0.0002482142313376802,-0.00020043836963714887,-0.0001368998290371613,0.0001495508669916097,0.00044865260097482905,0.0001611782183850645
12,-2.770433111814823e-05,0.00015458169984091446,-0.00020999036207721092,-5.7259846210256484e-05,0.00012152402063937512,0.0003645720619181254,0.00014469496540388737
13,-3.7575447068482446e-05,0.00013449463060218487,-0.00020964552473914976,2.4179026985498742e-05,0.00011471338511377821,0.0003441401553413346,0.00013818845432660655
14,-8.05229762505743e-05,1.9929148409438457e-05,-0.00018097510091058706,-6.542926140150774e-05,6.696808310667517e-05,0.00020090424932002552,0.00012412467054052554
15,-5.121317137133021e-05,2.8720336262069238e-05,-0.00013114667900472967,-2.065594719322419e-05,5.328900508893296e-05,0.0001598670152667989,0.00010120907218807423
16,-1.0903231124377653e-05,6.305810309747375e-05,-8.486456534622905e-05,6.464987219760149e-05,4.930755614790093e-05,0.0001479226684437028,8.116041001933247e-05
17,-1.8844201666939703e-05,6.887315348653766e-05,-0.00010656155682041706,-9.696469892306672e-05,5.847823676898491e-05,0.00017543471030695472,6.855125324525441e-05
18,-1.0561879279112412e-05,8.901322452066073e-05,-0.00011013698307888554,6.559063892463519e-05,6.638340253318208e-05,0.00019915020759954627,5.888525672913519e-05
19,-1.9831667813094053e-05,9.40862971683486e-05,-0.0001337496327945367,-0.00011177820407141596,7.594530998762844e-05,0.0002278359299628853,6.0680702105325845e-05
20,-3.889624583841341e-05,8.885014897009688e-05,-0.00016664264064692372,-0.00011597883731982098,8.516426320567354e-05,0.0002554927896170206,6.705575372867396e-05
21,-8.049447326001692e-05,3.135295298689427e-05,-0.0001923418995069281,-0.00014334126491041604,7.456495083127412e-05,0.00022369485249382236,7.210723266534861e-05
22,-5.795116344067548e-05,6.619727117261669e-05,-0.00018209959805396764,1.575185017364047e-05,8.276562307552811e-05,0.00024829686922658433,7.696470992665726e-05
23,-7.953981127871128e-05,7.669759100744988e-06,-0.00016674938165816755,-4.235260026554383e-05,5.813971358630418e-05,0.00017441914075891254,7.531597213728168e-05
24,-5.635429481844804e-05,3.8934926435411476e-05,-0.00015164351607230755,4.149378229900278e-06,6.352614750257301e-05,0.00019057844250771903,7.283213964027059e-05
25,-2.3900841893293088e-05,7.535375433992571e-05,-0.00012315543812651189,4.6288427305953765e-05,6.616973082214587e-05,0.0001985091924664376,6.903323316356506e-05
26,4.042074886318641e-06,4.716888968394951e-05,-3.9084739911312226e-05,-3.6266810123573955e-06,2.8751209865087246e-05,8.625362959526174e-05,5.9870484970327685e-05
27,-1.9829627406722275e-05,5.5872093014938135e-05,-9.553134782838268e-05,-0.00010360666129156411,5.046781361444027e-05,0.00015140344084332082,5.341092307811011e-05
28,-1.9646040062307666e-05,5.593468906970633e-05,-9.522676919432167e-05,-4.14346635434708e-05,5.038715275467599e-05,0.000151161458264028,5.186041091178447e-05
29,-2.694343384405643e-05,4.661140149340801e-05,-0.00010049826918152086,-3.233759067884353e-05,4.903655689164296e-05,0.00014710967067492887,4.896249278959846e-05
30,-2.9862500643182865e-05,3.7405940954462485e-05,-9.713094224082822e-05,3.169309331032157e-05,4.484562773176357e-05,0.0001345368831952907,4.4697672171522e-05
31,-4.826000488309846e-05,2.5219417285725495e-05,-0.00012173942705192241,-9.561420221193534e-05,4.898628144588264e-05,0.0001469588443376479,4.8744686487681065e-05
32,-2.6293617013747367e-05,3.905910058678509e-05,-9.164633461427983e-05,6.225278055191343e-06,4.3568478400354976e-05,0.0001307054352010649,4.736481944486402e-05
33,-2.4699200829426557e-05,3.9994091567381556e-05,-8.939249322623466e-05,-3.3462582621866726e-05,4.312886159787207e-05,0.00012938658479361623,4.591316121350323e-05
34,-2.158266437642416e-05,4.2958123769283855e-05,-8.612345252213217e-05,-1.6754908413831532e-05,4.302719209713867e-05,0.00012908157629141603,4.471128825460237e-05
35,-5.247976623557149e-06,9.713856765873082e-05,-0.0001076345209058451,0.00011336653207465662,6.825769618819197e-05,0.00020477308856457592,4.939370194588805e-05
36,1.6232620394845864e-05,9.304867823922437e-05,-6.058343744953264e-05,1.1788782880079728e-05,5.1210705229585666e-05,0.000153632115688757,4.983858670262865e-05
37,6.358953714774687e-06,9.134572690861491e-05,-7.862781947906554e-05,-4.3143055345164544e-05,5.6657848795893485e-05,0.00016997354638768046,5.2456460781736355e-05
